abash			당혹스럽게 하다, 얼떨떨하게 하다
contrived		고안한, 발명한, contrive
conventional		전통적인, 인습적인; 협정상의; 형식적인, 상투적인
convivial		환락의, 연회의; 명랑한
copious			풍부한, 지식이 풍부한; 대량의
corollary		추론, 당연한 결과, something that follows
corroborate		확실히 하다, 입증하다; 확인하다
cosmopolitan		전 세계적인, 세계주의의, 전세계적으로 분포하는
countenance		용모, 안색, 표정; 후원, 지지; 냉정, 침착, face, facial expression
coup			쿠데타, 타격; 대성공, 큰 히트
covenant		계약, 서약, 맹약; 계약의 부대 조항, 날인 증서(계약), contract
covert			비밀의, 암암리의, 덮여 있는, 사람 눈에 띄지 않는
covet			탐내다, 선망하다; 갈망하다, 열망하다
credulous		쉽게 믿는, 겸손하게 믿어 버리는, 속아넘어가기 쉬운
criterion		표준, 기준 규범, standard
cryptic			비밀의, 수수께끼같은, 신비스러운(mysterious); 몸을 숨기기에 알맞은
culinary		요리용의, 주방의, gastronomy
culminate		정점에 이르다, 자오선상에 이르다, 끝나게 하다, climax
culpable		비난할 만한, 과실이 있는, 유죄의, 괘씸한, guilty
cursory			엉성한, 피상적인, 대강대강한
curtail			간략하게 하다, 절감하다, ...에게서 일부를 빼앗다
cynic			냉소하는 사람, 비고는 사람, 빈정대는 사람
daunt			...의 기세를 꺾다, 으르다, 주춤하게 하다, make fearful, intimidate
dearth			부족, 결핍; 기근, scarce
debacle			강 얼음의 깨짐, 시세의 폭락, 와해, 패주; 대홍수
debauchery		방탕, 도락, 주색에 빠짐; 유흥, 야단법석, 난행, wild living
debilitate		쇠약하게 하다, attenuate, tenuous
decadent		쇠퇴기에 접어든, 퇴폐적인, decaying
decimate		많은 사람을 죽이다; 10분의 1을 제거하다
decorous		예의 바른, 점잖은; 단정한; 기품이 있는, 근엄한
deduce			연역하다, 추론하다; 유래를 찾다, 가계를 더듬다
defame			명예를 훼손하다, 비방하다, libel, slander
deference		복종, 존경, 경의, respect
definitive		결정적인, 최후적인; 일정한, 명확한; 한정된
degenerate		퇴보하다, 나빠지다; 타락하다; 퇴화하다; 변질하다
deleterious		해로운, 유독한
delineate		윤곽을 그리다, 묘사하다
delude			속이다, 속이어 ...시키다; 속여서 믿게 만들다, deceive
deluge			대홍수, 범람, 호우; (방문객, 편지 등의)쇄도, flood
demagogue		선동자, 선동 정치가
denizen			주민, 거주자; 귀화인, 국적 취득자, 서식 동물
depravity		부패, 악행, 비행, extreme corruption
deprecate		비난하다, 반대하다, 불찬성을 주장하다
deride			조롱하다, 비웃다
derogatory		손상시키는, 가치를 떨어뜨리는; 경멸적인, degrading
desiccate		건조시키다, 말려서 보존하다
despondent		낙담한, 기운없는, depressed
despot			독재자, 폭군, 전체군주, autocrat
destitute		빈곤한, 결핍한, extremely poor
desultory		산만한, 일관성 없는; 탈선적인, 주제를 벗어난, digress, without a plan or purpose
dialectical		방언의, 변증법의
dictum			격언, 금언; 공식 견해, 언명
didactic		가르치기 위한, 교훈적인
diffident		자신 없는, 사양하는; 겂많은, 내성적인, 수줍은, timid
digress			본제를 벗어나다, 지엽으로 흐르다, 탈선하다, desultory, deviate, stray
dilettante		아마추어 애호가, 어설픈 지식을 가진 사람
discern			분별하다, 식별하다, 인식하다, have insight
discreet		분별있는, 생각이 깊은
discrete		별개의, 구별된, 떨어져 있는, 불연속성의, 개별의
discriminate		구별하다, 판별하다; 차별하다
disdain			경멸, 모멸, 오만, contempt
disinterested		무관심한, 냉담한; 사욕이 없는, 청렴한; 공평무사한
disparage		얕보다, 깔보다; 비방하다, 명예를 해치다
disparate		본질적으로 다른, 공통점이 없는, different
disseminate		선전하다, 널리 흩뿌리다; 보급하다, 퍼뜨리다
dissipate		흩뜨리다, 방산하다, 낭비하다, 일소하다
dissolution		용해, 분해; 해산, 소멸, 사멸
distend			부풀리다, 팽창시키다; 과장시키다, swell
distinguish		구별하다, 분별하다; 눈에 띄게 하다
docile			유순한, 온순한, 착한; 가르치기 쉬운, 다루기 쉬운
doctrinaire		공론적인, 교조주의의(dogmatic)
dogmatic		독단적인, 고압적인; 교의의, 교리의
domestic		가정의, 집의; 국내의, 자국의; 국산의; 길들여진
dormant			동면의, 잠자는; 잠복의, 휴지한; 미발동의, inactive
dubious			의심스러운, 수상한; 모호한, 불안한; 망설이고 있는, uncertain
duplicity		이중성, 표리부동
ebullient		원기 왕성한, 기운이 내뻗는; 열광적인; 액체가 끓는, 끓어 넘치는, boiling
eccentric		편심적인, 정상을 벗어난; 보통과 다른; 괴상한, 별난
eclectic		절충하는, 얽매이지 않는, 다방면에 걸친
edify			품성을 높이다, 교화하다, 함양하다, enlighten, instruct
efface			지우다, 없애 버리다; 말살하다, 소멸시키다
effusion		유출, 분출, 유출물, 분출물; 감정의 표현, erupt
egalitarian		인류 평등주의의
egocentric		자기 중심적인, 자기 본위의
egregious		엄청난, 터무니 없는, 어처구니없는, extremly bad, flagrent
elicit			꾀어내다, 유도하다; 끌어내다, 알아내다, extract, bring out, call forth
elliptical		생략의, 타원의, oval
elusive			교묘히 빠져나가는, 잘 잊는, 알 수 없는; 정의하기 힘든, 외우기 힘든, elude, evade, oblivious, hard to in down
emigrate		타국으로 이주하다, 이주시키다
eminent			탁월한, 뛰어난; 유명한, 저명한, 현저한
empirical		경험적인, 경험의; 실험으로 증명할 수 있는; 경험주의의
emulate			경쟁하다, 다투다, 겨루다, strive to equal through imitation
encroach		서서히 침입하다, 잠식하다; 침범하다, 침해하다, trespass
endemic			한 지역 고유의, 풍토병의
enervate		힘을 빼앗다, 쇠약하게 하다
enfranchise		선거권을 주다, 공민권을 주다, 노예를 해방하다
engender		발생케하다 일으키다; 생기다, 일어나다
enigma			수수께끼, 불가사의한 인물
enormity		무법, 무도, 극악; 범죄 행위, evil, immensity
ephemeral		덧없는, 하루살이의
epigram			경구, 풍자시
epitome			개요, 요약, 축도, 줄거리; 발췌, compendium
equanimity		냉정, 침착
equitable		공정한, 공평한, 이치에 닿는, fair
equivocal		모호한, 의심스런, 분명하지 않은
erudite			박식한, 유식한; 서적 등의 학문적인
esoteric		심원한, 난해한, 비법의, 비밀의
espouse			지지하다, 옹호하다, advocate
ethereal		천상의(heavenly), 공기같은, 가벼운, +corporeal
euphemism		완곡어법
evanescent		차츰 사라지는, 덧없는
exacerbate		병 등을 악화시키다, 더하게 하다; 신경질나게 하다, aggravate
exacting		엄한, 가혹한, 착취적인, 힘든
exalt			높이다, 승진시키다, 칭찬하다, 강렬하게 하다, raise high
exasperate		노하게 하다, 분개시키다, 악화시키다, 더하게 하다
exemplify		예증하다, ...의 모범이 되다
exhaustive		전부를 다하는, 철저한, 포괄적인, 소모적인, 고갈시키는
exhort			간곡히 타이르다, 권하다, 훈계하다, expositulate; cohort-무리
exigency		위급, 긴급한 상태
existential		존재에 관한, 실존의, 실존주의의
exonerate		용서하다, 구하다, 무죄로 하다, free from blame, exculpate
expatriate		국외로 추방하다, 조국을 버리다
expedient		편리한, 유리한, 임시 방편의
expedite		재촉하다, 촉진하다; 군대 등을 파견하다, 공문 등을 급송하다
explicit		명백한, 뚜렷한; 노골적인, 솔직한, 터놓은
extol			칭찬하다, 극찬하다
extraneous		불필요한; 부적절한; 밖의, 외부로부터의; 본질에서 벗어난
extrapolate		통계에서 외삽법에 의해 추정하다, 외삽법을 행하다; 추론하다
extricate		구출하다, 탈출하다, 유리시키다, free from difficulty
extrovert		외향적인 사람, gregarious
exult			크게 기뻐하다, 기뻐 날뛰다, 의기 양양히 하다, ...에게 승리하다
fabrication		꾸밈, 날조; 제작; 조립, 조립부품, figment
facetious		익살맞은, 우스꽝스러운
facile			손쉬운, 용이한, 간편한; 경쾌한, 씩씩한; 솜씨좋은, 피상적인, facility, expedient
faction			도당, 파벌 싸움, 당파성; fraction-파편,단편
farcical		익살극의, 익살맞은, 바보스런, absurd, ludicrous
fastidious		까다로운, 세심한 주의가 필요한, metichlous
fatalist		운명론가
fatuous			바보의, 얼빠진; 실체가 없는, 공허한, fatuity
fauna			동물군, 동물의(animal), flora
fecund			다산의, 상상력이 풍부한, (토지가) 기름진
felicity		지복, 더 없는 행복, 교묘함, 멋들어진 표현, 경사, felicitous; felicitate-축하하다
fervor			열정, 백열, 염열(ardor)
fetter			속박하다, 족쇄를 채우다
fidelity		충실, 정절, 신빙성
figurative		비유적인, 수식이 많은; 상징적인; 조형적인, 구상적인
finesse			솜씨, 교묘한 기교, 술책, 책략, 예리함
flagrant		악명 높은, 극악스런, 명백한
flaunt			자랑하다, 과시하다; 우롱하다; 허영을 부리다
flout			비웃다, 조롱하다, jeer
foible			약점, 결점; 자만하고 있는 점; 칼이 휘는 부분(칼의 가운데서 칼 끝까지), flaw
foment			찜질하다, 조장하다, 선동하다, agitate; torment-괴롭히다
forbear			억제하다, 참다, 아끼다; 삼가다, 몸을 사리다
forgo			보류하다, ...없이 지내다, 무시하다
forsake			버리다, 버리고 돌보지 않다, renounce, relinguish
fortuitous		우연의 행운의
founder			배가 침몰하다, 좌절하다, 실패하다, 침수시키다
fraternal		형제의, 우애의
frenetic		발광한, 열광적인, frantic; forensic-법정의,토론의
frugal			검약한, 검소한; 비용이 들지 않는, 간소한
furtive			은밀한, 교활한, 수상쩍은, insidious, secretive
futile			쓸데없는, 효과없는; 알맹이 없는, 시시한, useless
garrulous		수다스러운, 장황한, 졸졸한 소리를 내는, 시끄럽게 지저귀는
genre			장르, 유형, 약식; 풍속화
genteel			품위 있는, 우아한; 유행을 쫓는; 집안이 좋은
gesticulate		손짓으로 의사소통하다, 손짓을 통해 의사소통을 하다
glut			너무 많은, 차고 넘침, 포만, 과식
grandiloquent		호언 장담하는, 과장하는
grandiose		웅장한, 장엄한, 젠체하는 거드름 피우는
gratuitous		무료의, 무보수의; 이유없는, 불필요한, gratis; gratuity-부조
gravity			진지함, 위엄, 장중함; 중대함; 중력
gregarious		군거하는, 군립성의; 사교적인; 무리의, 군집의, sociable
guile			교활, 음흉한 꾀, 배반심, 책략
hackneyed		낡아빠진, 진부한
hapless			운이 나쁜, 불행한(unlucky)
harbinger		선구자, 전조; 선구가 되다
hedonism		쾌락주의
hegemony		패권, 주도권, leadership
heresy			이단, 이교
hermetic		밀봉한, 밀폐한, 연금술의, 신비한, 연금술사, impervious
heyday			전성기(prime)
hiatus			틈, 갈라진 틈; 탈락, break, interruption
hierarchy		성직자 계급제도, 성직자 정치; 분류 체계, 계층
histrionic		연극의, 연극 배우의; 배우, 연극, overly dramatic
homily			훈계, 설교, sermon
homogeneous		동질의, 같은 종류의(uniform)
husbandry		농업, 절약
hyperbole		과장법; 과장, 과대, 과장된 표현(exaggeration)
hypothetical		가설의, 가정적인
iconoclast		우상타파주의자, 구습 타파주의자
ideology		관념론, 이데올로기, 관념형태
idiosyncrasy		특질, 개성, 특이성, 특유의 표현법, 특이체질
idyllic			전원시의, 목가적인, 한가로운
ignominy		모욕, 불명예, 수치스러운 행위, 추행, deep disgrace
illicit			불법의, 불의의, 불륜의
imminent		절박한, 촉박한, 긴급한
immutable		불변의, 변경되지 않는
impartial		공평한, 치우치지 않은
impeccable		결함 없는, 죄가 없는, 비난의 여지가 없는; impecunious-가난한
imperial		제국의, 황제의, 황실의, 장엄한; 거만한, 건방진; 우수한
impervious		물이나 공기, 혹은 광선 따위가 통과하지 않는; 무감각한, 둔감한, hermatic
impetuous		격렬한, 맹렬한; 성급한, impulsive
implement		약속 따위를 이행하다(to carry out), 도구를 주다, 필요한 권한을 주다
impotent		무기력한, 허약한
impugn			비난하다, 공격하다, attact
inane			공허한, 어리석은, 텅빈, silly
inaugurate		취임식을 거행하다, 취임시키다; 새로운 시대를 열다
incandescent		백열의, 빛나는, 백열광을 내는
incantation		자주 반복하는 문구(슬로건)(chant); 주문; 주문을 욈, 마술, chant
incense			몹시 화나게 하다
incessant		끊임없는, 간단없는
incipient		처음의, 발단의, gambit
incisive		날카로운, 가시 돋친, 예리한, 신랄한
incongruous		어울리지 않는, 부조화의; congruous-일치하는, 적합한
incorrigible		선도할 수 없는, 어쩔 수 없는, 제멋대로의, 뿌리깊은
increment		증가, 증진, 이자, 이득
indifferent		무관심한, 아랑곳하지 않는; 대수롭지 않은, 관계없는; 평범한, 공평한
indigenous		토착의, 국산의, 타고난
indigent		가난한, 빈곤한, impecunious
indignant		화난, 분개한, 성난
indolent		게으른, 나태한; 통증이 없는; redolent-향기로운
indulgent		멋대로 하게 하는 관대한, 엄하지 않은
ineffable		말로 표현할 수 없는, 이루 말할 수 없는, 말하기에도 너무 신성한
inept			부적당한, 바보 같은, 어리석은
inert			활발하지 못한, 생기가 없는, 둔한; 활성이 없는
inexorable		용서없는, 무정한, 냉혹한
infamous		수치스러운, 파렴치한, 악명 높은; 지독한; 형편없는
infatuated		얼빠진, 열중한, 현혹한; fatuity-우둔,멍청함, fatuous-우둔한
infer			추리하다, 나타내다, 암시하다
infinitesimal		극히 작은, 무한소의; 극소량
ingenuous		솔직한, 꾸밈없는; 순진한; ingenious-재간있는,독창적인, ingenue-천진한소녀, ingenuity-영리함,창작력
inherent		천부의, 고유의, 타고난; coherent-밀접한, adherent-지지자
injunction		명령, 훈령, 지령, 금지 명령
innate			타고난, 천성적인
innocuous		해가 없는, 독이 없는
inordinate		지나친, 과도한; 무절제한, 불규칙한, 난폭한
insatiable		만족할 줄 모르는, 탐욕스러운
insidious		교활한, 방심할 수 없는; 잠행성의
insinuate		넌지시 비치다, 빗대어 말하다(hind)
insipid			김빠진, 싱거운, 활기 없는 무미건조한, tepid, vapid
insolent		거만한, 오만한, 거드럭거리는, hubris
instigate		충돌질하다, 선동하다, 부추기다
insular			섬의, 섬나라 근성의, 편협한
insurgent		반란자, 모반자, 폭도, 반정부 운동가
integral		완전한, 완전한 것을 이루는데 필수적인
intractable		다루기 힘든, 억척스러운, 고집센, +tractable
intransigent		정치상 비타협적인
intrinsic		본질적인, 고유의
introspective		자기 반성의, 내성적인
inundate		범람시키다, 침수시키다, 밀어닥치다, 쇄도하다
invective		욕설, 악담, 비난
inveterate		뿌리깊은, 상습적인, 만성의
irascible		성급한, 성을 잘 내는
ironic			비꼬는, 풍자적인, 반어적인
irrevocable		취소할 수 없는, 되부를 수 없는; revocable-취소할수있는
itinerant		순회하는, 순방하는, 편력중인, 지방 순회의
judicious		분별이 있는, 사리 분별력이 있는, 현명한
juxtapose		병렬하다, 나란히 놓다
kinetic			운동의, 운동에 의해 생기는; 활동적인, 정력적인
labyrinth		미궁(maze), 미로, 뒤얽힌 사건
laconic			간결한, 말수 적은
lament			슬퍼하다, 애도하다, 한탄하다
lampoon			풍자하다, 비아냥거리다
languish		약해지다, 나른해지다, 쇠해지다; 동경하다; 괴로워하다; 고달픈 생활을 하다
largess			증여, (아낌없이 주는) 선물
latent			숨어 있는, 잠복기의; 잠재적인, 잠재성의
laud			찬양하다, 기리다
legacy			유산(=bequest)
lethargy		혼수상태; 무감각, 무기력, 활발치 못함
levity			경솔, 경솔한 행위, 경거망동
libel			명예 훼손, 중상; 모욕이 되는 것
litigate		소송하다; 제소/논쟁하다; 법정에서 다투다
loquacious		말 많은, 시끄럽게 지저귀는, 시냇물이 졸졸 소리를 내는, garrulous
lucid			맑은, 투명한; 명료한; 빛나는; 명석한
lugubrious		슬퍼하는; 가련한; 애처로운, mourn, bemoan, lament
luminous		빛을내는, 명료한, 이해가 쉬운; 밝은, 총명한
machination		음모, 책모
magnanimous		관대한, 아량이 있는, 도량이 큰
magnate			고관, 부호; 거물, 유력자
malaise			기분이 언짢은, 불쾌
malfeasance		부정행위
malinger		꾀병을 부리다
malleable		펴 늘일 수 있는, 유순한, 온순한, 가르치기 쉬운, pliable
mandate			명령, 지령; 통치, 위임, 직무집행 영장
manifest		명백한, 분명한
manifesto		성명서, 선언서
marshal			정렬시키다, 정돈시키다; 연방 보안관
martial			전쟁의, 군사의; 군인다운; 호전적인, 용감한
martyr			순교자, 희생자; 박해하다, 괴롭히다
matriculate		입학을 허가하다, 입학하다
maudlin			눈물 잘 흘리는, 감상적인, 만취한
maverick		독불장군, 비순종주의자, 무소속 정치가, 고삐 풀린 망아지
maxim			격언, 좌우명, 격률
mediate			중재하다, 조정하다
mellifluous		감미로운, 유창한
mendacious		허위의, 거짓말 잘하는
mendicant		거지(beggar)
mentor			현명하고 성실한 조언자(teacher, tutor)
mercenary		용병, 고용된 사람
mercurial		민활한, 변덕스러운; 명랑한, 쾌활한; 수은의
metamorphosis		형태의 변호, 변태, 변성, 변질
microcosm		소우주, 인간사회
milieu			주위, 환경
minuscule		매우 작은
misanthropic		염세적인, 인간혐오의
mitigate		누그러뜨리다, 달래다, 완화하다; 경감하다
mollify			완화하다, 경감하다, 진정시키다, 달래다
monolithic		단일적인, 획일적인; 완전히 통제된
moribund		죽어가는, 소멸해 가는, defunct, demise
